Designation,G kg/m,h mm,b mm,s mm,t mm,A cm2,r1 mm,r2 mm,h1 mm
HE 650 × 343,343,680,309,25,46,437.5,27,,
HE 650 × 407,407,696,314,29.5,54,518.8,27,,
HE 700 AA,150,670,300,13,17,190.9,27,,
HE 700 A,204,690,300,14.5,27,260.5,27,,
HE 700 B,241,700,300,17,32,306.4,27,,
HE 700 M,301,716,304,21,40,383,27,,
HE 700 × 352,352,728,308,25,46,448.6,30,,
HE 700 × 418,418,744,313,29.5,54,531.9,30,,
HE 800 AA,172,770,300,14,18,218.5,30,,
HE 800 A,224,790,300,15,28,285.8,30,,
HE 800 B,262,800,300,17.5,33,334.2,30,,
HE 800 M,317,814,303,21,40,404.3,30,,
HE 800 × 373,373,826,308,25,46,474.6,30,,
HE 800 × 444,444,842,313,30,54,566,30,,
HE 900 AA,198,870,300,15,20,252.2,30,,
HE 900 A,252,890,300,16,30,320.5,30,,
HE 900 B,291,900,300,18.5,35,371.3,30,,
HE 900 M,333,910,302,21,40,423.6,30,,
HE 900 × 391,391,922,307,25,46,497.7,30,,
HE 900 × 466,466,938,312,30,54,593.7,30,,
HE 1000 AA,222,970,300,16,21,282.2,30,,
HE 1000 × 249,249,980,300,16.5,26,316.8,30,,
HE 1000 A,272,990,300,16.5,31,346.8,30,,
HE 1000 B,314,1000,300,19,36,400,30,,
HE 1000 M,349,1008,302,21,40,444.2,30,,
HE 1000 × 393,393,1016,303,24.4,43.9,500.2,30,,
HE 1000 × 415,415,1020,304,26,46,528.7,30,,
HE 1000 × 438,438,1026,305,26.9,49,556,30,,
HE 1000 × 494,494,1036,309,31,54,629.1,30,,
HE 1000 × 584,584,1056,314,36,64,743.7,30,,
HL 920 × 344,344,927,418,19.3,32,437.2,19,,
HL 920 × 368,368,931,419,20.3,34.3,465.6,19,,
HL 920 × 390,390,936,420,21.3,36.6,494.3,19,,
HL 920 × 420,420,943,422,22.5,39.9,534.1,19,,
HL 920 × 449,449,948,423,24,42.7,571.4,19,,
HL 920 × 491,491,957,422,25.9,47,623.3,19,,
HL 920 × 537,537,965,425,28.4,51.1,682.5,19,,
HL 920 × 588,588,975,427,31,55.9,748.1,19,,
HL 920 × 656,656,987,431,34.5,62,835.3,19,,
HL 920 × 725,725,999,434,38.1,68.1,922.9,19,,
HL 920 × 787,787,1011,437,40.9,73.9,1002,19,,
HL 920 × 970,970,1043,446,50,89.9,1236.6,19,,
HL 920 × 1077,1077,1061,451,55,99.1,1371.5,19,,
HL 920 × 1194,1194,1081,457,60.5,109,1521.5,19,,
HL 920 × 1269,1269,1093,461,64,115.1,1616.5,19,,
HL 920 × 1377,1377,1093,473,76.7,115.1,1753.7,19,,
HL 1000 AA,296,982,400,16.5,27.1,377.6,30,,
HL 1000 A,321,990,400,16.5,31,408.8,30,,
HL 1000 B,371,1000,400,19,36.1,472.8,30,,
HL 1000 M,412,1008,402,21.1,40,525.1,30,,
HL 1000 × 443,443,1012,402,23.6,41.9,563.7,30,,
HL 1000 × 483,483,1020,404,25.4,46,615.1,30,,
HL 1000 × 539,539,1030,407,28.4,51.1,687.2,30,,
HL 1000 × 554,554,1032,408,29.5,52,705.8,30,,
HL 1000 × 591,591,1040,409,31,55.9,752.7,30,,
HL 1000 × 642,642,1048,412,34,60,817.6,30,,
HL 1000 × 748,748,1068,417,39,70,953.4,30,,
HL 1000 × 883,883,1092,424,45.5,82,1125.3,30,,
HL 1000 × 976,976,1108,428,50,89.9,1241.4,30,,
HL 1100 A,343,1090,400,18,31,436.5,30,,
HL 1100 B,390,1100,400,20,36,497,30,,
HL 1100 M,433,1108,402,22,40,551.2,30,,
HL 1100 R,499,1118,405,26,45,635.2,30,,
HL 1100 × 548,548,1128,407,28,50,698.3,30,,
HL 1100 × 607,607,1138,410,31,55,773.1,30,,
HLZ 1100 A,393,1075.4,458,20,31,500.8,35,0,935.9
HLZ 1100 B,408,1079.4,458,20,33,519.1,35,0,935.9
HLZ 1100 C,430,1083.4,459,21,35,548.3,35,0,935.9
HLZ 1100 D,453,1087.4,460,22,37,577.5,35,0,935.9
"HD 260 × 54,1",54.1,244,260,6.5,9.5,69,24,,
"HD 260 × 68,2",68.2,250,260,7.5,12.5,86.8,24,,
"HD 260 × 93,0",93,260,260,10,17.5,118.4,24,,
HD 260 × 114,114,268,262,12.5,21.5,145.7,24,,
HD 260 × 142,142,278,265,15.5,26.5,180.3,24,,
HD 260 × 172,172,290,268,18,32.5,219.6,24,,
HD 260 × 225,225,309,271,24,42,286.6,24,,
HD 260 × 299,299,335,278,31,55,380.5,24,,
"HD 320 × 74,2",74.2,301,300,8,11,94.6,27,,
"HD 320 × 97,6",97.6,310,300,9,15.5,124.4,27,,
HD 320 × 127,127,320,300,11.5,20.5,161.3,27,,
HD 320 × 158,158,330,303,14.5,25.5,201.2,27,,
HD 320 × 198,198,343,306,18,32,252.3,27,,
HD 320 × 245,245,359,309,21,40,312,27,,
HD 320 × 300,300,375,313,27,48,382.1,27,,
HD 360 × 134,134,356,369,11.2,18,170.6,15,,
HD 360 × 147,147,360,370,12.3,19.8,187.9,15,,
HD 360 × 162,162,364,371,13.3,21.8,206.3,15,,
HD 360 × 179,179,368,373,15,23.9,228.3,15,,
HD 360 × 196,196,372,374,16.4,26.2,250.3,15,,
HD 400 × 187,187,368,391,15,24,237.6,15,,
HD 400 × 216,216,375,394,17.3,27.7,275.5,15,,
HD 400 × 237,237,380,395,18.9,30.2,300.9,15,,
HD 400 × 262,262,387,398,21.1,33.3,334.6,15,,
HD 400 × 287,287,393,399,22.6,36.6,366.3,15,,
HD 400 × 314,314,399,401,24.9,39.6,399.2,15,,
HD 400 × 347,347,407,404,27.2,43.7,442,15,,
HD 400 × 382,382,416,406,29.8,48,487.1,15,,
HD 400 × 421,421,425,409,32.8,52.6,537.1,15,,
HD 400 × 463,463,435,412,35.8,57.4,589.5,15,,
HD 400 × 509,509,446,416,39.1,62.7,649,15,,
HD 400 × 551,551,455,418,42,67.6,701.4,15,,
HD 400 × 592,592,465,421,45,72.3,754.9,15,,
HD 400 × 634,634,474,424,47.6,77.1,808,15,,
HD 400 × 677,677,483,428,51.2,81.5,863.4,15,,
HD 400 × 744,744,498,432,55.6,88.9,948.1,15,,
HD 400 × 818,818,514,437,60.5,97,1043.3,15,,
HD 400 × 900,900,531,442,65.9,106,1149.2,15,,
HD 400 × 990,990,550,448,71.9,115,1262.4,15,,
HD 400 × 1086,1086,569,454,78,125,1385.8,15,,
HD 400 × 1202,1202,580,471,95,130,1530.5,15,,
HD 400 × 1299,1299,600,476,100,140,1654.7,15,,
HP 200 × 43,42.5,200,205,9,9,54.1,10,,
HP 200 × 53,53.5,204,207,11.3,11.3,68.4,10,,
HP 220 × 57,57.2,210,224.5,11,11,72.9,18,,
HP 260 × 75,75,249,265,12,12,95.5,24,,
HP 260 × 87,87.3,253,267,14,14,111,24,,
HP 305 × 79,78.9,299.3,306.4,11,11.1,100.5,15,,
HP 305 × 88,88.5,301.7,307.8,12.4,12.3,112.1,15,,
HP 305 × 95,94.9,303.7,308.7,13.3,13.3,121,15,,
HP 305 × 110,110,307.9,310.7,15.3,15.4,140.1,15,,
HP 305 × 126,126,312.3,312.9,17.5,17.6,160.6,15,,
HP 305 × 149,149,318.5,316,20.6,20.7,189.9,15,,
HP 305 × 180,180,326.7,319.7,24.8,24.8,229.3,15,,
HP 305 × 186,186,328.3,320.9,25.5,25.6,236.9,15,,
HP 305 × 223,223,337.9,325.7,30.3,30.4,284,15,,
HP 320 × 88,88.5,303,304,12,12,112.7,27,,
HP 320 × 103,103,307,306,14,14,131,27,,
HP 320 × 117,117,311,308,16,16,149.5,27,,
HP 320 × 147,147,319,312,20,20,186.9,27,,
HP 320 × 184,184,329,317,25,25,234.5,27,,
HP 360 × 109,109,346.4,371,12.8,12.9,138.7,15,,
HP 360 × 133,133,352,373.8,15.6,15.7,169.4,15,,
HP 360 × 152,152,356.4,376,17.8,17.9,193.7,15,,
HP 360 × 174,174,361.4,378.5,20.3,20.4,221.5,15,,
HP 360 × 180,180,362.9,378.8,21.1,21.1,229.5,15,,
HP 400 × 122,122,348,390,14,14,155.9,15.2,,
HP 400 × 140,140,352,392,16,16,178.6,15.2,,
HP 400 × 158,158,356,394,18,18,201.4,15.2,,
HP 400 × 176,176,360,396,20,20,224.3,15.2,,
HP 400 × 194,194,364,398,22,22,247.5,15.2,,
HP 400 × 213,213,368,400,24,24,270.7,15.2,,
HP 400 × 231,231,372,402,26,26,294.2,15.2,,
UBP 203 × 203 × 45,44.9,200.2,205.9,9.5,9.5,57.2,10,,
UBP 203 × 203 × 54,53.9,204,207.7,11.3,11.4,68.7,10,,
UBP 254 × 254 × 63,63,247.1,256.6,10.6,10.7,80.2,13,,
UBP 254 × 254 × 71,71,249.7,258,12,12,90.4,13,,
UBP 254 × 254 × 85,85.1,254.3,260.4,14.4,14.3,108.4,13,,
UBP 305 × 305 × 79,78.9,299.3,306.4,11,11.1,100.5,15,,
UBP 305 × 305 × 88,88,301.7,307.8,12.4,12.3,112.1,15,,
UBP 305 × 305 × 95,94.9,303.7,308.7,13.3,13.3,120.9,15,,
UBP 305 × 305 × 110,110,307.9,310.7,15.3,15.4,140.1,15,,
UBP 305 × 305 × 126,126,312.3,312.9,17.5,17.6,160.6,15,,
UBP 305 × 305 × 149,149,318.5,316,20.6,20.7,189.9,15,,
UBP 305 × 305 × 186,186,328.3,320.9,25.5,25.6,236.9,15,,
UBP 305 × 305 × 223,223,337.9,325.7,30.3,30.4,284,15,,
UBP 356 × 368 × 109,109,346.4,371,12.8,12.9,138.7,15,,
UBP 356 × 368 × 133,133,352,373.8,15.6,15.7,169.4,15,,
UBP 356 × 368 × 152,152,356.4,376,17.8,17.9,193.7,15,,
UBP 356 × 368 × 174,174,361.4,378.5,20.3,20.4,221.5,15,,
UB 127 × 76 × 13,13,127,76,4,7.6,16.5,8,,
UB 152 × 89 × 16,16,152.4,88.7,4.5,7.7,20.3,8,,
UB 178 × 102 × 19,19,177.8,101.2,4.8,7.9,24.3,8,,
UB 203 × 102 × 23,23.1,203.2,101.8,5.4,9.3,29.4,8,,
UB 203 × 133 × 25,25.1,203.2,133.2,5.7,7.8,32,8,,
UB 203 × 133 × 30,30,206.8,133.9,6.4,9.6,38.2,8,,
UB 254 × 102 × 22,22,254,101.6,5.7,6.8,28,8,,
UB 254 × 102 × 25,25.2,257.2,101.9,6,8.4,32,8,,
UB 254 × 102 × 28,28.3,260.4,102.2,6.3,10,36.1,8,,
UB 254 × 146 × 31,31.1,251.4,146.1,6,8.6,39.7,8,,
UB 254 × 146 × 37,37,256,146.4,6.3,10.9,47.2,8,,
UB 254 × 146 × 43,43,259.6,147.3,7.2,12.7,54.8,8,,
UB 305 × 102 × 25,24.8,305.1,101.6,5.8,7,31.6,8,,
UB 305 × 102 × 28,28.2,308.7,101.8,6,8.8,35.9,8,,
UB 305 × 102 × 33,32.8,312.7,102.4,6.6,10.8,41.8,8,,
UB 305 × 127 × 37,37,304.4,123.4,7.1,10.7,47.2,8.9,,
